videoid,contentUrl,duration,page_dir,name
1021702615,https://ak.picdn.net/shutterstock/videos/1021702615/preview/stock-footage-zakopane-poland-december-boy-and-girl-go-skiing-together-cheery-and-keeping-feet-wide.mp4,PT00H00M32S,129801_129850,"Zakopane, poland - december 10, 2018:boy and girl go skiing together cheery and keeping feet wide in tatras in slow motion"
1030953809,https://ak.picdn.net/shutterstock/videos/1030953809/preview/stock-footage-close-up-of-water-surface-rippling.mp4,PT00H00M19S,093601_093650,Close-up of water surface rippling
1052448313,https://ak.picdn.net/shutterstock/videos/1052448313/preview/stock-footage-santos-brazil-portrait-of-staff-covid-doctors-in-the-ppe-protective-and-coronavirus.mp4,PT00H00M08S,076451_076500,"Santos / brazil 2020 - portrait of staff covid-19 doctors in the ppe protective and coronavirus patients work and test at a drive thru clinic. face masks shown.
"
30661162,https://ak.picdn.net/shutterstock/videos/30661162/preview/stock-footage-drone-flying-above-larnaca-city-amazing-landscape-of-resort-town-cyprus.mp4,PT00H00M21S,084401_084450,"Drone flying above larnaca city, amazing landscape of resort town, cyprus"
1059733394,https://ak.picdn.net/shutterstock/videos/1059733394/preview/stock-footage-mtskheta-georgia-jvari-georgian-orthodox-monastery-world-heritage-by-unesco-beautiful-autumn.mp4,PT00H00M14S,109001_109050,"Mtskheta, georgia. jvari, georgian orthodox monastery, world heritage by unesco. beautiful autumn mountain landscape and ancient temple."
31106788,https://ak.picdn.net/shutterstock/videos/31106788/preview/stock-footage-man-playing-virtual-reality-games-in-the-rain-vr-technology-close-up-slow-motion.mp4,PT00H00M11S,108801_108850,Man playing virtual reality games in the rain. 360 vr technology. close up. slow motion.
7139908,https://ak.picdn.net/shutterstock/videos/7139908/preview/stock-footage-bug-drinking-water-off-of-a-window-after-rainstorm.mp4,PT00H00M11S,196801_196850,Bug drinking water off of a window after rainstorm
1026411134,https://ak.picdn.net/shutterstock/videos/1026411134/preview/stock-footage-belgium-bruges-october-city-with-canal-in-belgium.mp4,PT00H00M12S,196151_196200,"Belgium, bruges - october, 2016: city with canal in belgium"
1027261523,https://ak.picdn.net/shutterstock/videos/1027261523/preview/stock-footage-negev-desert-of-israel.mp4,PT00H00M10S,103101_103150,Negev desert of israel.
25371881,https://ak.picdn.net/shutterstock/videos/25371881/preview/stock-footage-young-woman-looking-away-from-the-camera.mp4,PT00H00M11S,073051_073100,Young woman looking away from the camera
